code,label,description,parent_code,examples
39230000,Special-purpose product,Ökofüsioloogia taimedekasvukambri ostmine,,Ökofüsioloogia taimedekasvukambri ostmine || Käesoleva hankemenetluse esemeks on ökofüsioloogia taimedekasvukambri ostmine vastavalt lisas 1 tehnilises kirjelduses esitatud tingimustele. || Estonia – Special-purpose product – Ökofüsioloogia taimedekasvukambri ostmine || 81mm miinipilduja M252 transpordikast || 81mm miinipilduja M252 transpordikast.Tagada taktikalistele tuletoetusüksustele nõuetekohane relvade hoidmine ja transport. || Estonia – Special-purpose product – 81mm miinipilduja M252 transpordikast
39314000,Industrial kitchen equipment,Narva Eesti Gümnaasiumi köögitehnoloogia hange,,Narva Eesti Gümnaasiumi köögitehnoloogia hange || Köögitehnoloogia hankimine Narva Eesti Gümnaasiumile. || Estonia – Industrial kitchen equipment – Narva Eesti Gümnaasiumi köögitehnoloogia hange || Rae riigigümnaasiumi köögitehnoloogia hange || Köögitehnoloogia hankimine Rae riigigümnaasiumile. || Estonia – Industrial kitchen equipment – Rae riigigümnaasiumi köögitehnoloogia hange
42123100,Gas compressors,Mobiilse gaasikompressori ost gaasi ülekandmiseks,,Mobiilse gaasikompressori ost gaasi ülekandmiseks || Estonia – Gas compressors – Mobiilse gaasikompressori ost gaasi ülekandmiseks
42923230,Checkweigher scales,Sõidukite kaalude ostmine Luhamaa maanteepiiripunkti (Maksu- ja Tolliamet),,"Sõidukite kaalude ostmine Luhamaa maanteepiiripunkti (Maksu- ja Tolliamet) || Luhamaa maanteepiiripunkti sisenevatel sõidusuundadel tuvastatakse automaatselt sõidukite ja haagiste registrinumbrid. Hanke eesmärk on soetada kaalud, mille kasutamisel teostatakse lisaks numbrituvastusele ka sõidukite ja haagiste kaalumine. Kaalumist peab saama teostada liikumise pealt erinevatel liikumiskiirustel. Piiripunkti sisenemise alal on liikumiskiirus küll piiratud, aga pole fikseeritud. || Estonia – Checkweigher scales – Sõidukite kaalude ostmine Luhamaa maanteepiiripunkti (Maksu- ja Tolliamet)"
43132100,Drilling machinery,Katendi puurpingi ostmine,,Katendi puurpingi ostmine || Ostetakse üks (1) uus katendi puurping vertikaalsete ja kuni 30 kraadise (sammuga 5 kraadi) kaldsuunaga 200 kuni 230 mm läbimõõduga ning kuni 45 m sügavuste laenguaukude puurimiseks veerikkasse lubjakivimisse ja merglisse survetugevusega kuni 100 MPa. Puurimisviisiks on näritspuurpeaga keerdpuurimine. || Estonia – Drilling machinery – Katendi puurpingi ostmine
43300000,Construction machinery and equipment,Allmaa betooniveoki ostmine,,"Allmaa betooniveoki ostmine || Ostetakse üks (1) betoonipumbaga ja mikseriga varustatud veok betooni valmistamiseks, veoks ning pumpamiseks allmaarajatiste ehitusel ja remondil. || Estonia – Construction machinery and equipment – Allmaa betooniveoki ostmine"
44100000,Construction materials and associated items,Ehitus- ja tarbekaupade raamleping,,"Ehitus- ja tarbekaupade raamleping || Riigihanke esmeks on ehitus- ja tarbekaupade ostmine 36 kuu vältel. || üldehitusmaterjalide-, viimistlusmaterjalide-, rauakaupade, kinnitustarvikute, sisustuskaubade ostmine 36 kuu vätlel || Estonia – Construction materials and associated items – Ehitus- ja tarbekaupade raamleping"
44200000,Structural products,Lukksepa ja keevituse toormaterjalide ostmine,,"Lukksepa ja keevituse toormaterjalide ostmine || Riigihanke eesmärk on leida koostööpartnerid, kes tarniksid Riigi Kaitseinvesteeringute Keskusele ja Kaitseväele erinevaid konstruktsiooniteraseid, eriteraseid, värvilisi metalle ja komposiitmaterjale. Hankija soovib minna raamlepingusse igas hanke osas maksimaalselt kolme pakkujaga, kelle vahel hakkab hankija läbi viima minikonkursse. Hanke eeldatav maksumus ei kohusta hankijat selles mahus kaupa tellima. Lõplikud kogused ja summad selguvad sõlmitavate hankelepingute käigus. || Hanke osa eesmärk on osta konstruktsiooniteraseid. || Estonia – Structural products – Lukksepa ja keevituse toormaterjalide ostmine"
44482100,Fire hoses,Tuletõrjevoolikute ostmine,,Tuletõrjevoolikute ostmine || Estonia – Fire hoses – Tuletõrjevoolikute ostmine
45000000,Construction work,"Lieferung, Montage und Inbetriebnahme von Komponenten der Anlagensicherung",,"Lieferung, Montage und Inbetriebnahme von Komponenten der Anlagensicherung || Am Standort des JRC Karlsruhe wurde der Neubau eines zusätzlichen separaten Labor- und Lagergebäudes Flügel M geplant und mit den Bauarbeiten begonnen. Die Neubaumaßnahme hat eine Bruttogrundfläche von ca. 8 500 m2 und dient dazu, die notwendige Infrastruktur für die wissenschaftlichen Arbeiten auch für die Zukunft sicherzustellen. Nach Unterbrechung der Arbeiten ist jetzt die Projektfortführung für die restlichen Maßnahmen zur kompletten Errichtung und Inbetriebnahme des Flügel M notwendig. Die Hauptpakete sind Technische Gebäudeausrüstung (TGA 1 und 2) und Anlagensicherung (AS). Für das Gewerk AS wird ein geeigneter Auftragnehmer (AN) gesucht. Zum Angebotsumfang des hier ausgeschriebenen Pakets AS gehören folgende Systeme und Komponenten: Schleusensysteme, IRIS Erkennungssysteme, Gefahrenmeldeanlage (zum Teil Erweiterung vom Bestand), Gefahrenmanagementsystem (zum Teil Erweiterung vom Bestand), Fernsehüberwachungsanlage (zum Teil Erweiterung vom Bestand), Netzwerkeinrichtungen, Server- und Datenschränke, Möbel- und Pulte der Objektsicherungszentrale, Zugangskontrollsystem (zum Teil Erweiterung vom Bestand), Funkanlage, Kabel und Leitungen zu den o. g. Systemen. || Germany – Construction work – Lieferung, Montage und Inbetriebnahme von Komponenten der Anlagensicherung"
45100000,Site preparation work,"Tiigi 9a, Narva kordonihoone rekonstrueerimistööd",,"Tiigi 9a, Narva kordonihoone rekonstrueerimistööd || Hanke eesmärgiks on kordonihoone rekonstrueerimiseks, juhtimiskeskuse rajamiseks, garaaž-autotöökoja elektripaigaldise rekonstrueerimiseks, välialade korrastamiseks ning autoparkla rajamiseks peatöövõtja leidmine || Estonia – Site preparation work – Tiigi 9a, Narva kordonihoone rekonstrueerimistööd"
45200000,Works for complete or part construction and civil engineering work,"Tartu Ülikooli üliõpilaselamu Nooruse 7, Tartu rekonstrueerimine koos sisustamisega",,"Tartu Ülikooli üliõpilaselamu Nooruse 7, Tartu rekonstrueerimine koos sisustamisega || Tellija põhieesmärgiks on tähtaegselt ja optimaalsete kuludega rekonstrueerida aadressil Nooruse 7, Tartu asuv üheksakorruseline üliõpilaselamu. Pakkujal on võimalik tutvuda objektiga, tutvumise osas leppida eelnevalt kokku MTÜ Tartu Üliõpilasküla haldusjuhi Ove Tikuga, tel 510 4383, e-post ove.tikk@ut.ee (tööpäevadel 9.00–17.00). || Estonia – Works for complete or part construction and civil engineering work – Tartu Ülikooli üliõpilaselamu Nooruse 7, Tartu rekonstrueerimine koos sisustamisega || Hooldus-õppegaraaži ja 4 tehnika varjualuse projekteerimine ja ehitamine || Tapa linnaku tehnikatöökoja ja nelja varjualuse rajamine vastavalt tellija poolt edastatud ehitusprojektidele. Asukoht: Loode tn 35, Tapa linn, Tapa vald, Lääne-Viru maakond (79201:001:0288). Töömaa suurus ca 4,5 ha. Töömaa sees arvestada ka erinevate alade ja platside rajamisega ehitiste ümber ning taristu toimimiseks vajalike trassidega. Taotleda ehitusload. Projekteerimisel ja ehitamisel lähtuda tehnilisest kirjeldusest (TK) ja selle lisadest. || Estonia – Works for complete or part construction and civil engineering work – Hooldus-õppegaraaži ja 4 tehnika varjualuse projekteerimine ja ehitamine || Ämari kasarmud ja hooldus-õppegaraažid || Ämari kasarmute ja hooldus-õppegaraažide projekteerimine ja ehitus. Hange on jaotatud kahte ossa: I osa Ämari kasarmud koos tehnovõrkude laiendustega II osa Ämari hooldus-õppegaraažid"
45212000,"Construction work for buildings relating to leisure, sports, culture, lodging and restaurants",Ilmarise 51 tänavaspordiala projekteerimine ja rajamine,,"Ilmarise 51 tänavaspordiala projekteerimine ja rajamine || Ilmarise rulapargi- ja tänavakorvpalliala projekteerimine ja ehitustööd || Estonia – Construction work for buildings relating to leisure, sports, culture, lodging and restaurants – Ilmarise 51 tänavaspordiala projekteerimine ja rajamine"
45212300,Construction work for art and cultural buildings,Sihtasutus Eesti Kontsert Saaremaa Ooperipäevad 2023 ja 2024 aasta hange ooperimaja ehituseks vajalike tarvikute rendiks koos paigalduse ja teisaldusega,,"Sihtasutus Eesti Kontsert Saaremaa Ooperipäevad 2023 ja 2024 aasta hange ooperimaja ehituseks vajalike tarvikute rendiks koos paigalduse ja teisaldusega || SA Eesti Kontsert ettepanek pakkumuse esitamiseks Saaremaa Ooperipäevad 2023, 2024 Ooperimaja ehituseks vajaliku lava, saali, tribüünide ja muu vajaliku inventari rendiks, paigaldamiseks ja teisaldamiseks. Kasutusvalmis peavad olema kõik rajatavad telgid kuupäevadel vastavalt tehnilisele kirjeldusele. || Estonia – Construction work for art and cultural buildings – Sihtasutus Eesti Kontsert Saaremaa Ooperipäevad 2023 ja 2024 aasta hange ooperimaja ehituseks vajalike tarvikute rendiks koos paigalduse ja teisaldusega"
45214100,Construction work for kindergarten buildings,Tallinna Männimudila Lasteaia ehitus,,Tallinna Männimudila Lasteaia ehitus || Olemasoleva lasteaia lammutus ning uue 8 rühmalise lasteaia ehitus || Estonia – Construction work for kindergarten buildings – Tallinna Männimudila Lasteaia ehitus
45214200,Construction work for school buildings,Mustamäe riigigümnaasiumi õppehoone ehitustööd,,Mustamäe riigigümnaasiumi õppehoone ehitustööd || Mustamäe riigigümnaasiumi õppehoone ehitustööd peatöövõtu meetodil || Estonia – Construction work for school buildings – Mustamäe riigigümnaasiumi õppehoone ehitustööd
45215000,"Construction work for buildings relating to health and social services, for crematoriums and public conveniences",Hiiumaa esmatasandi tervisekeskuse Käina filiaali ehitustööd,,"Hiiumaa esmatasandi tervisekeskuse Käina filiaali ehitustööd || Hangitakse Hiiumaa esmatasandi tervisekeskuse Käina filiaali ehitustööd. || Estonia – Construction work for buildings relating to health and social services, for crematoriums and public conveniences – Hiiumaa esmatasandi tervisekeskuse Käina filiaali ehitustööd || SA Tallinna Lastehaigla generaatori ehitustööd || SA Tallinna Lastehaigla generaatori ehitustööde teostamine, sh elektri ühendamine ja generaatori hoone ehitamine || Estonia – Construction work for buildings relating to health and social services, for crematoriums and public conveniences – SA Tallinna Lastehaigla generaatori ehitustööd"
45221112,Railway bridge construction work,Kiltsi raudteesilla projekteerimis- ja ehitustööd,,Kiltsi raudteesilla projekteerimis- ja ehitustööd || Riigi poolt on eesmärgiks seatud Tapa-Tartu liinil kiiruste tõstmine kuni kiiruseni 160 km/h. Antud eesmärgi täitmiseks tuleb projekteerida tööprojekti mahus ning ehitada uus raudteesild üle Põltsamaa jõe. Hanke ese on täpsemalt kirjeldatud HD Lisas 1. || Estonia – Railway bridge construction work – Kiltsi raudteesilla projekteerimis- ja ehitustööd
45221120,Viaduct construction work,Riigiteel nr 20141 Rapla-Varbola asuva Alu maanteeviadukti ehitamine,,Riigiteel nr 20141 Rapla-Varbola asuva Alu maanteeviadukti ehitamine || Riigiteel nr 20141 Rapla-Varbola asuva Alu maanteeviadukti ehitamine vastavalt riigihanke alusdokumentides toodud tingimustele. || Estonia – Viaduct construction work – Riigiteel nr 20141 Rapla-Varbola asuva Alu maanteeviadukti ehitamine
45230000,"Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork",Ämari lennuliiklusala remont,,"Ämari lennuliiklusala remont || Ämari lennuvälja lennuliiklusala (ca 38 ha) sadeveesüsteemide, valgustussüsteemide ja katendite ning märgistuste remonilahenduste projekteerimine ja ehitus/remonttööde teostamine. || Estonia – Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork – Ämari lennuliiklusala remont"
45231220,Construction work for gas pipelines,"Rail Baltica ja Eleringi Kiisa, Saku ja Tootsi gaasitorustike ümberehitustööd",,"Rail Baltica ja Eleringi Kiisa, Saku ja Tootsi gaasitorustike ümberehitustööd || Estonia – Construction work for gas pipelines – Rail Baltica ja Eleringi Kiisa, Saku ja Tootsi gaasitorustike ümberehitustööd"
45231300,Construction work for water and sewage pipelines,"Jahe tee 2a, Tallinn",,"Jahe tee 2a, Tallinn || Jahe tee 2a, Tallinn liitumispunktide ehitus || Estonia – Construction work for water and sewage pipelines – Jahe tee 2a, Tallinn || Kulli tn 30, Tallinn || Kulli tn 30, Tallinn liitumispunktide ehitus || Estonia – Construction work for water and sewage pipelines – Kulli tn 30, Tallinn || Kose tee 88a, Tallinn || Kose tee 88a, Tallinn liitumispunktide ehitus"
45231400,Construction work for electricity power lines,L357 Paide – Kiisa ja L187 Paide - Rapla rekonstrueerimine,,L357 Paide – Kiisa ja L187 Paide - Rapla rekonstrueerimine || Elering AS projekteerib ja rekonstrueerib „võtmed-kätte“ meetodil 330kV õhuliini nr L357 alates Paide 330kV alajaamast kuni Kiisa 330kV alajaamani. Õhuliini nimetus on L357 Paide - Kiisa. L357 rekonstrueerimise mahus tõstetakse L357 Paide – Kiisa õhuliiniga ühistele mastidele ka paralleelselt kulgev 110kV õhuliin L187 Paide – Rapla alates Paide alajaamast kuni L187 mastini M71. Täpsed tingimused on esitatud Hankedokumentides. || Estonia – Construction work for electricity power lines – L357 Paide – Kiisa ja L187 Paide - Rapla rekonstrueerimine
45233120,Road construction works,"Riigitee 20 Põdruse–Kunda–Pada km 16,91-28,35 Kunda–Pada teelõigu rekonstrueerimine BIM",,"Riigitee 20 Põdruse–Kunda–Pada km 16,91-28,35 Kunda–Pada teelõigu rekonstrueerimine BIM || Riigitee 20 Põdruse–Kunda–Pada km 16,91-28,35 Kunda–Pada teelõigu rekonstrueerimine BIM vastavalt hanke alusdokumentides toodud tingimustele. || Estonia – Road construction works – Riigitee 20 Põdruse–Kunda–Pada km 16,91-28,35 Kunda–Pada teelõigu rekonstrueerimine BIM"
45233130,Construction work for highways,"Riigitee nr 4 Tallinn ‒ Pärnu ‒ Ikla km 122,6-125,2 Sauga – Pärnu 2+2 teelõigu ehitus",,"Riigitee nr 4 Tallinn ‒ Pärnu ‒ Ikla km 122,6-125,2 Sauga – Pärnu 2+2 teelõigu ehitus || Riigitee nr 4 Tallinn ‒ Pärnu ‒ Ikla km 122,6-125,2 Sauga – Pärnu 2+2 teelõigu ehitus vastavalt hanke alusdokumentides toodud tingimustele. || Estonia – Construction work for highways – Riigitee nr 4 Tallinn ‒ Pärnu ‒ Ikla km 122,6-125,2 Sauga – Pärnu 2+2 teelõigu ehitus"
45234100,Railway construction works,Tapa raudteejaama osaline renoveerimine,,"Tapa raudteejaama osaline renoveerimine || Tapa raudteejaama osaline renoveerimine koos keskkõriku ja depookõriku ümberehitusega. Hanke ese on täpsemalt kirjeldatud HD Lisas 1 ja selle lisades. || Estonia – Railway construction works – Tapa raudteejaama osaline renoveerimine || Rail Baltica Raplamaa põhitrassi raudteetaristu I etapi ehitustööd || Estonia – Railway construction works – Rail Baltica Raplamaa põhitrassi raudteetaristu I etapi ehitustööd || Rail Baltica Harjumaa põhitrassi raudteetaristu I etapi ehitustööd || Põhitrassi Ülemiste - Soodevahe lõigu raudteede muldkeha (sh. piki- ja põiksuunaline drenaaži ehitus, maaparandustööd, 1 truubi ehitus loomade läbipääsuks ja veejuhtimiseks, tugimüüride ehitus, haljastamine, raudtee kaablikanalite rajamine ja kolmandate osapoolte tehnovõrkude ristumiste ümberehitus) ehitus lõigul DS2 DPS1 (0+000 – 4+800).sh. Ülemiste jaama 1435 splj teede ja manöövritee osaline muldkeha ja drenaaži ehitus. Ülemiste veeremidepoo manöövritee muldkeha ja osaline tehnovõrkude ehitus. Ehitustööde teostamine vastavalt riigihanke alusdokumentides sätesatud tingimustele. || Estonia – Railway construction works – Rail Baltica Harjumaa põhitrassi raudteetaristu I etapi ehitustööd"
45241100,Quay construction work,Paldiski Lõunasadamasse multifunktsionaalse kai nr 6A ja tagalaala rajamise projekteerimis- ja ehitustööd,,"Paldiski Lõunasadamasse multifunktsionaalse kai nr 6A ja tagalaala rajamise projekteerimis- ja ehitustööd || Riigihanke esemeks on Paldiski Lõunasadamasse multifunktsionaalse kai nr 6A sildumispikkusega 310 m ja tagalaala suurusega ca 10 ha ja kandevõimega kogu ulatuses 200 kN/m2 projekteerimis- ja ehitustööd. Kai tuleb varustada reguleeritava rambiga, mille silla osa laius on 32 m ja kandevõime 1200 kN. Hankelepingu mahtu kuulub ka Paldiski Lõunasadama sissesõidukanali ja rajatava kai esise akvatooriumi ala süvendamine kuni sügavuseni -13,5 m. Eesmärk on, et rajatav taristu oleks sobilik nii meretuuleparkide ehituse baassadamaks kui hoolduse tugisadamaks. Tehniline kirjeldus on esitatud riigihanke alusdokumentide lisas 1. || Estonia – Quay construction work – Paldiski Lõunasadamasse multifunktsionaalse kai nr 6A ja tagalaala rajamise projekteerimis- ja ehitustööd"
45300000,Building installation work,Konditsioneeride paigaldus koos teostusjoonistega.,,Konditsioneeride paigaldus koos teostusjoonistega. || Vastavalt RHAD lisale 2 || Estonia – Building installation work – Konditsioneeride paigaldus koos teostusjoonistega.
45316110,Installation of road lighting equipment,Tänavavalgustite vahetus LED valgustite vastu,,"Tänavavalgustite vahetus LED valgustite vastu || Hanke eesmärk on tänavavalgustite vahetus LED valgustite vastu, sh projektide koostamine ja valgustite vahetus. || Nõmme piirkonna valgustite vahetus || Estonia – Installation of road lighting equipment – Tänavavalgustite vahetus LED valgustite vastu"
45453000,Overhaul and refurbishment work,Aktsiaselts Lääne-Tallinna Keskhaigla Naistekliiniku isolatsioonipalatite rekonstrueerimisprojekti ehitustööd,,"Aktsiaselts Lääne-Tallinna Keskhaigla Naistekliiniku isolatsioonipalatite rekonstrueerimisprojekti ehitustööd || Aktsiaselts Lääne-Tallinna Keskhaigla Naistekliiniku isolatsioonipalatite rekonstrueerimisprojekti ehitustööd vastavalt AS Infragate Eesti poolt koostatud ehitusprojektile, töö nr TL236 „AS Lääne-Tallinna Keskhaigla Naistekliiniku isolatsioonipalatite rekonstrueerimine“, staadium: Põhiprojekt. || Estonia – Overhaul and refurbishment work – Aktsiaselts Lääne-Tallinna Keskhaigla Naistekliiniku isolatsioonipalatite rekonstrueerimisprojekti ehitustööd"
48820000,Servers,Serverite ostmine raamlepinguga,,"Serverite ostmine raamlepinguga || Käesoleva riigihanke eesmärk on sõlmitud raamlepingu alusel hankida RIKSi teenusteks toimimiseks peamiselt kasutatavaid HPE ja Dell servereid. Sellest tulenevalt on käesoleva riigihanke eesmärk sõlmitud raamlepingu alusel hankida vanade seadmete väljavahetamiseks ja/või olemasoleva võrgu laiendamiseks uusi peamiselt HPE ja Dell servereid, tehnilist tuge, komponente, litsentse 48 kuu jooksul. Juhul, kui pakkuja soovib pakkuda samaväärseid teise tootja tooteid, siis tuleb pakkujal arvestada kõigi kulutustega, mis kaasnevad olemasoleva serverite ümbervahetamise/asendamisega. . || Estonia – Servers – Serverite ostmine raamlepinguga"
48900000,Miscellaneous software package and computer systems,Microsofti tarkvara litsentside rentimine,,"Microsofti tarkvara litsentside rentimine || Microsofti tarkvara litsentside rentimine Enterprise Agreement lepinguga selleks, et katta Eesti Post AS-i ja tütarettevõtete Microsofti litsentside vajadus koos tootetoe, versiooni uuenduste ja turva/funktsionaalsete paikadega. || Estonia – Miscellaneous software package and computer systems – Microsofti tarkvara litsentside rentimine || Microsofti litsentsid || Microsofti litsentside rentimine vastavalt Hankija vajadustele Hankedokumentides toodud tingimustele. Raamlepingu eeldatav maksumus on 1 100 000 eurot käibemaksuta ja maksimaalne maksumus 1 300 000 eurot käibemaksuta || Estonia – Miscellaneous software package and computer systems – Microsofti litsentsid"
50100000,"Repair, maintenance and associated services of vehicles and related equipment",Kiirabiautode hooldus- ja remonditeenus ning varuosade ost,,"Kiirabiautode hooldus- ja remonditeenus ning varuosade ost || A Tartu Kiirabi soovib sõlmida hankelepingu erinevate kiirabiautode (Volkswagen) hooldus ja remonditöödeks ning varuosade ostmiseks järgmistel tingimustel: 1) garantiiaegsed hooldus-ja remonditööd ning varuosade ost; 2) garantiijärgsed hooldus-ja remonditööd ning varuosade ost. Pakkumuse saavad esitada kõik huvitatud isikud, kes omavad eelnimetatud sõidukitootja hooldusõigust (nii garantii kui ka garantiijärgsed hooldused) Hankelepingud sõlmitakse kõigi pakkumuse esitanud pakkujatega, kes tunnistatakse vastaks, kvalifitseeritakse ning neil puuduvad kõrvaldamise aluseks olevad asjaolud. Pakkumuse raames esitatakse hooldus- ja remonditööde hinnakiri ning pakutav allahindlus protsent. NB! Teenuste osutamise asukohaks peab olema Tartu, sest sõidukid on pidevas kasutuses ning teistesse regioonidesse hooldus- ja remonditöödeks sõitmine on ressursi ja ajamahukas || Estonia – Repair, maintenance and associated services of vehicles and related equipment – Kiirabiautode hooldus- ja remonditeenus ning varuosade ost || Maismaasõidukite hooldus- ja remonditeenuste ostmine || Hanke esemeks on Välisministeeriumi sõidukitele hooldus- ja remonditööde osutamine. || Mercedes-Benz marki sõidukite hooldus- ja remonditeenuse ostmine || Estonia – Repair, maintenance and associated services of vehicles and related equipment – Maismaasõidukite hooldus- ja remonditeenuste ostmine"
50118110,Vehicle towing-away services,Mootorsõiduki transportimine teisaldusautol ning teisaldamine valvega hoiukohta (k.a politseiasutusse) Ida piirkonnas,,"Mootorsõiduki transportimine teisaldusautol ning teisaldamine valvega hoiukohta (k.a politseiasutusse) Ida piirkonnas || Teenus hõlmab nii tellija, kui ka kolmandatele isikutele kuuluvate mootorsõidukite transportimist teisaldusautol ning teisaldamist valvega hoiukohta (k.a politseiasutusse). || Estonia – Vehicle towing-away services – Mootorsõiduki transportimine teisaldusautol ning teisaldamine valvega hoiukohta (k.a politseiasutusse) Ida piirkonnas"
50225000,Railway-track maintenance services,Tee terviklikkuse taastamine 2023,,"Tee terviklikkuse taastamine 2023 || Vanade isoleerlukkude eemaldamine, tee terviklikkuse taastamine ja neutraliseerimine. Töid tuleb teha Keila-Tallinn lõigul, kokku eeldatavalt ca 109 rööpavahetust koos kaasnevate töödega. Hanke ese on täpsemalt kirjeldatud HD Lisas 1. || Estonia – Railway-track maintenance services – Tee terviklikkuse taastamine 2023"
50230000,"Repair, maintenance and associated services related to roads and other equipment",Suru lasketiiru kuulipüüdja hooldus,,"Suru lasketiiru kuulipüüdja hooldus || Kaitseväe Keskpolügooni Suru lasketiiru kuulipüüdja hooldamine. Objektiga tutvumine KOHUSTUSLIK. Kontaktisiku andmed objektiga tutvumiseks hanke vastavustingimustes. Töid saab teostada ajavahemikus 12.06.2023 kuni 31.07.2023. Töö täitmise tähtaeg on 31.07.2023. Juhul kui nimetatud ajavahemik muutub, teavitab tellija sellest töövõtjat esimesel võimalusel ning töövõtja peab arvestama tööde tegemist vajadusega ka muul ajal. || Teede remondi ja korrashoiu all käsitletakse teede ja platside remonti, ehitamist ja korrashoidu ning teede ehituse materjalide ostmist. || Estonia – Repair, maintenance and associated services related to roads and other equipment – Suru lasketiiru kuulipüüdja hooldus || Nursipalu harjutusvälja lasketiirude remonttööd || Nursipalu harjutusvälja lasketiirude remonttööd vastavalt tehnilisele kirjeldusele (Lisa 1). Hanke sisuks on olemasoleva lasketiiru pinnase eemaldamine ning asendamine kandvama ja filtreerivama materjaliga, tee äärte korrastamine jms. Tegemist on tee ehituslike ja pinnastöödega. Asukoht: Nursipalu harjutusväli, Tsirgupalu küla, Rõuge vald, Võru maakond Tööde teostamise tähtaeg: 2 kuu jooksul lepingu sõlmimisest. Töödega tuleb alustada koheselt peale lepingu jõustumist. Tööd võidakse peatada seoses õppustega, täpne tööde teostamise aeg lepitakse kokku peale lepingu sõlmimist. Objektiga tutvumine ja mahtude määramine enne pakkumuse esitamist on kohustuslik, hilisemaid pretensioone ei rahuldata. Objektiga tutvumine toimub 17.04.2023 kell 10:30. Objektiga tutvumise soovist palume teada anda riigihangete registri teabevahetuse kaudu hiljemalt 14.04.2023 ning edastada hankijale teabevahetuse kaudu objektiga tutvuma tuleva isiku nimi ja isikukood. || Estonia – Repair, maintenance and associated services related to roads and other equipment – Nursipalu harjutusvälja lasketiirude remonttööd || Killustiku ja liiva soetus"
50400000,Repair and maintenance services of medical and precision equipment,Meditsiiniseadmete hooldus ja remont,,"Meditsiiniseadmete hooldus ja remont || Hanke eesmärk on leida teenusepartnerid, kes hooldaksid ning remondiksid Kaitseväes kasutuses olevaid meditsiiniseadmeid. || Estonia – Repair and maintenance services of medical and precision equipment – Meditsiiniseadmete hooldus ja remont"
50421000,Repair and maintenance services of medical equipment,Meditsiiniliste seadmete remont ja hooldus,,"Meditsiiniliste seadmete remont ja hooldus || Meditsiiniliste seadmete (Ziehm arkoskoobid, Datascope patsiendimonitorid, Edan patsiendimonitorid, Mindray patsiendimonitorid, Mindray ultraheliaparaadid, Nellcor Puritan Bennett hingamisaparaadid, Nihon Kohden patsiendimonitorid, Olympus endoskoobid ja endoskoopiaseadmed, Olympus insuflaatorid, Olympus loputuspumbad, Pentax endoskoobid ja endoskoopiaseadmed, Somanetics patsiendimonitorid) remont ja hooldus. || Datascope patsiendimonitoride remont ja hooldus || Estonia – Repair and maintenance services of medical equipment – Meditsiiniliste seadmete remont ja hooldus"
50532300,Repair and maintenance services of generators,Paldiski I tuulepargi hooldus,,"Paldiski I tuulepargi hooldus || Riigihanke eesmärgiks on hooldusteenuse osutamine (GE 2.5 MW seeria tuuleturbiinidele) Paldiski I tuulepargis. Täpsemad juhised, tööde sisu ja hankelepingu tingimused on leitavad alusdokumentidest ""Instructions to tenderers"" ja ""Paldiski I Service Agreement (Draft)"". || Estonia – Repair and maintenance services of generators – Paldiski I tuulepargi hooldus"
50720000,Repair and maintenance services of central heating,Tallinna Tehnika Ülikooli Virumaa Kolledži tehnosüsteemide hooldus,,Tallinna Tehnika Ülikooli Virumaa Kolledži tehnosüsteemide hooldus || Tallinna Tehnikaülikooli üksikhoonete tehnosüsteemide hooldus- ja remonttööde tellimine || Estonia – Repair and maintenance services of central heating – Tallinna Tehnika Ülikooli Virumaa Kolledži tehnosüsteemide hooldus || Tallinna Tehnikaülikooli Tartu Kolledži tehnosüsteemide hooldus- ja remonttööde tellimine || Estonia – Repair and maintenance services of central heating – Tallinna Tehnikaülikooli Tartu Kolledži tehnosüsteemide hooldus- ja remonttööde tellimine || Tallinna Tehnikaülikooli peamaja tehnosüsteemide hooldus- ja remonttööde tellimine || Estonia – Repair and maintenance services of central heating – Tallinna Tehnikaülikooli peamaja tehnosüsteemide hooldus- ja remonttööde tellimine || Tallinna Tehnikaülikooli üksikhoonete tehnosüsteemide hooldus ja remonttööde tellimine
50800000,Miscellaneous repair and maintenance services,Haabersti linnaosa territooriumil asuvate KSIL linnakute ohutuse tagamine,,"Haabersti linnaosa territooriumil asuvate KSIL linnakute ohutuse tagamine || Hanke eesmärk on linnaosa territooriumil asuvate nelja KSIL mänguväljaku seadmete ohutuse tagamine vastavalt tellitud ekspertiisi tulemustele. Aruanne koostatud 13.04.2023 Playsafe OÜ poolt. || Mänguväljakute seadmete/treeningvahendite/turvaaluste hooldus, remont ning vajadusel vastavalt tellija soovile osade soetamine ja paigaldamine. || Estonia – Miscellaneous repair and maintenance services – Haabersti linnaosa territooriumil asuvate KSIL linnakute ohutuse tagamine || Kesklinna mängu- ja spordiväljakute elementide remonttööd || Hanke eesmärk on olemasolevatel mängu- ja spordiväljakutel katkiste elementide vahetus, katkiste elementide eemaldamine, uute soetamine ja paigaldamine ning muude tuvastatud puuduste likvideerimine. Tööde käigus tuleb vanad elemendid utiliseerida ning nende asemele paigaldada uued. || Estonia – Miscellaneous repair and maintenance services – Kesklinna mängu- ja spordiväljakute elementide remonttööd || Lasnamäe linnaosa mänguväljakute remonttööd II"
